station,phase,time
das2300,P,1715099001.572
das2900,P,1715099054.362
das2700,P,1715099155.5619981
das2500,P,1715099488.752001
das1100,P,1715099892.752
das2700,P,1715099939.392
das900,P,1715100141.722
das2500,P,1715100232.842001
das2100,P,1715100351.632002
das1700,P,1715100374.832
das1100,P,1715100491.492
das2700,P,1715100497.352
das1700,P,1715100558.302
das2300,P,1715100717.7020018
das2100,P,1715100810.922001
das1500,P,1715100857.732
das1900,P,1715100858.722
das2100,P,1715100900.5220008
das900,P,1715100936.062
das2700,P,1715101166.092001
das1700,P,1715101379.581999
das2100,P,1715101380.401998
das2300,P,1715101441.651998
das2300,P,1715101586.101999
das2300,P,1715102220.452002
das2700,P,1715102276.3219998
das900,P,1715102318.732
das2300,P,1715102461.232
das1100,P,1715102658.3820002
das2100,P,1715102874.511999
das1900,P,1715103055.4219992
das1900,P,1715103116.712
das2900,P,1715103075.062
das900,P,1715103321.962
das2700,P,1715103361.642
das2500,P,1715103374.962
das2700,P,1715103374.9420002
das2700,P,1715103601.8019998
das700,P,1715103995.032
das1100,P,1715104217.852
das2500,P,1715104261.0020008
das2700,P,1715104259.601999
das1100,P,1715104692.052
das1300,P,1715104696.592
das1100,P,1715104997.8019998
das1100,P,1715105519.831999
das2300,P,1715105657.0419998
das1900,P,1715105834.4620001
das2500,P,1715106028.3820002
das1500,P,1715106417.351999
das2700,P,1715106471.712
das1900,P,1715106623.4120011
das2100,P,1715106624.842001
das2500,P,1715107076.112001
das2500,P,1715107257.122
das2700,P,1715107379.651998
das2900,P,1715107561.962
das2300,P,1715107736.372
das2700,P,1715107783.3219998
das2100,P,1715107974.982
das2700,P,1715107981.662001
das1900,P,1715108276.862001
das1500,P,1715108490.191999
das300,P,1715108979.072
das2500,P,1715108976.402
das2900,P,1715108996.491999
das2300,P,1715109105.0220008
das2100,P,1715109505.982
das2300,P,1715109656.772001
das1500,P,1715109914.3820002
das2900,P,1715110021.351999
das1500,P,1715110035.372
das2100,P,1715110153.992
das2500,P,1715110429.2819998
das2300,P,1715110500.601999
das1300,P,1715110511.372
das1500,P,1715110511.032
das2900,P,1715110741.5220008
das1300,P,1715111065.0020008
das2700,P,1715111094.491999
das2500,P,1715111128.052
das1900,P,1715111311.9020002
das1700,P,1715111353.7619998
das2700,P,1715111761.7619991
das2300,P,1715111916.472
das1900,P,1715112177.5619981
das500,P,1715112396.122
das2700,P,1715112481.092001
das2500,P,1715112539.4819999
das2100,P,1715112674.092
das2300,P,1715112673.232
