id,longitude,latitude,elevation,x,y,z
das100,-124.35439533707809,45.17002969943862,-338.34579201607994,286.5920226453392,-30.201739579081778,0.33834579201607995
das300,-124.40586696179346,45.16531553588114,-371.4341335133261,282.56904885630814,-30.907186569353215,0.3714341335133261
das500,-124.45694856015892,45.15937223997371,-374.9848515971128,278.5820648662372,-31.745297464444988,0.3749848515971128
das700,-124.50749887150414,45.15129111285043,-355.725519452573,274.6462967024146,-32.81663726539031,0.35572551945257297
das900,-124.55890616454867,45.147955000000266,-334.4098965759204,270.619514385655,-33.361023139564416,0.3344098965759204
das1100,-124.61007875261525,45.1523908336822,-394.57921853310074,266.57444454292175,-33.038327058880654,0.39457921853310074
das1300,-124.65835887100762,45.165047991954225,-534.5200958336058,262.719606904412,-31.789992750688217,0.5345200958336057
das1500,-124.70241136247415,45.184256613113575,-546.4036392280251,259.16898476949734,-29.797715674731116,0.5464036392280252
das1700,-124.75192654120727,45.193167448627406,-598.7505692213489,255.23756825619287,-28.965276166355196,0.5987505692213488
das1900,-124.79938892818433,45.18004364309045,-629.9017502646195,251.56579831775352,-30.57285274419682,0.6299017502646195
das2100,-124.83555078301816,45.154124569340155,-676.9448855748269,248.83645449079856,-33.5654499059925,0.6769448855748269
das2300,-124.87858931944886,45.134059272220554,-728.9579237136012,245.53833885043215,-35.92714130015252,0.7289579237136012
das2500,-124.9295778820443,45.13061326273558,-781.3065481613393,241.5420194294469,-36.46386461815682,0.7813065481613393
das2700,-124.97881782970224,45.14192724039603,-967.6019598696356,237.6214194080257,-35.352573018499015,0.9676019598696356
das2900,-125.02903452455794,45.14998045245641,-1239.1800187249082,233.63887218356768,-34.60412220042619,1.2391800187249082
